wavelength,lower_x,upper_x,flux_density_Jy
2912.339805076593,279.32411427721235,322.8724540360089,0.06525561432804237
3530.518260893344,396.59541895329045,416.70118510291,0.35111552958711356
4399.235622455843,363.8039985219404,416.68992028570653,1.1422406620142598
5236.1499600881825,437.9319453985402,448.06082023971953,2.335858299873296
6406.034507594529,594.7933911909407,658.0778869458247,5.364365441417811
9946.420052290612,736.7884813613844,646.9503671775489,10.54486623235196
13336.805301933671,1061.6884733204388,1098.1770560649304,11.83217608296572
17397.805886193088,1276.1419374107638,1077.9399482785166,10.126941413792588
96582.99355777334,28266.380748726508,28411.64231619197,0.5423167187403147
480327.5119166459,129711.53250940949,135698.56930514667,0.2849528858714126
